2010 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education age 35-44, wgtd 2008-10 ACS, SSDAN/U-Mich
5
Occup,GEnder,Immentry,RaceEth,Educ
5,2,5,7,4
TopWC,OtherWC,Service,TopBC,OtherBC
Male,Female
Native,FB<1980,FB80-89,FB90-99,FB00-Current
NhWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
LTHS,HSGrad,SomeColl,CollGrad
111,192,516,53,22,0,0,
7,182,305,317,47,0,0,
0,0,20,0,0,0,0,
233,94,312,51,0,0,0,
24,93,439,222,17,112,0,
0,6,376,145,0,0,0,
0,0,222,699,890,572,390,
0,0,0,0,112,23,31,
0,0,95,157,138,135,0,
0,0,131,222,317,155,163,
0,0,146,61,137,265,48,
0,25,761,1324,645,25,0,
0,27,189,154,68,0,0,
108,124,404,349,25,0,0,
50,238,419,662,102,68,0,
80,0,192,171,33,245,0,
29,43,292,370,98,20,87,
0,0,50,128,0,0,0,
149,0,257,169,144,0,0,
111,29,535,169,55,0,0,
357,219,699,224,227,0,0,
0,0,0,24,42,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
58,0,0,0,0,0,0,
0,0,29,15,0,0,30,
0,0,33,39,0,0,0,
0,0,0,0,0,0,0,
0,74,28,25,0,0,0,
20,0,60,191,34,0,0,
0,0,41,0,0,0,0,
149,190,2476,7996,11391,4213,3618,
0,0,130,207,225,158,218,
0,34,41,201,207,349,235,
0,0,46,54,513,461,344,
26,0,133,106,335,181,457,
268,732,4708,9995,4934,1703,95,
0,0,0,443,128,136,0,
0,21,96,177,184,0,0,
30,63,207,88,188,58,9,
32,0,87,249,131,106,34,
550,643,3336,5400,1887,441,50,
71,34,0,80,78,0,0,
0,30,95,167,0,0,0,
25,25,31,134,31,32,0,
43,0,32,0,19,0,0,
589,1171,7074,7088,768,200,72,
0,0,44,94,54,0,0,
0,105,26,297,56,37,0,
12,43,274,112,0,0,24,
73,20,94,0,0,46,0,
215,1055,6019,4371,515,29,0,
15,0,33,188,0,0,0,
0,0,124,138,0,0,0,
214,21,144,250,48,29,0,
89,0,172,0,28,0,0,
47,316,2325,8733,8946,5073,2244,
0,0,0,330,420,342,93,
0,38,107,26,377,69,43,
0,0,0,290,278,208,199,
0,0,0,87,227,107,182,
183,616,7223,17762,5149,1767,359,
0,62,122,687,199,32,0,
0,23,190,409,191,91,0,
51,121,188,316,223,62,0,
