2010 Marital Status by education, gender, and race/ethnicity, age 15+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeMar,Marital,Educ
2380,2373,1969,230,
15819,21425,15450,4885,
19094,28045,26833,12714,
663,1353,697,242,
7466,11976,11504,3558,
2351,2213,2075,551,
9642,12167,9446,3180,
14314,19997,23068,12665,
1092,1446,1609,420,
4974,8007,8718,3847,
1188,1513,870,273,
3092,3257,3546,1280,
16742,12065,10918,7534,
8131,2950,1998,626,
4048,3347,2765,1336,
765,408,512,362,
3001,1210,562,413,
4929,8091,6876,1264,
117,60,0,0,
309,810,662,186,
570,556,380,71,
94286,41664,49592,4241,
10891,18002,27852,13164,
208,137,444,205,
1438,3712,7223,1598,
2037,1938,3590,234,
16534,24109,30332,11022,
13809,21118,35306,16778,
577,719,719,143,
4710,8587,14781,3854,
2499,2834,5010,1042,
8988,15103,15957,5971,
16115,28075,35452,13933,
1665,2366,2983,1002,
5678,12185,15839,6279,
2612,2976,3209,755,
7671,9128,10731,4348,
11510,20481,21135,10033,
4299,4153,4176,1396,
4754,7983,11941,5365,
1724,1574,1119,307,
3410,2393,4397,1873,
12315,10079,7684,3442,
21893,9688,7916,3079,
4925,4311,4510,1730,
1175,415,542,168,
2798,1004,1315,733,
979,567,619,51,
0,0,0,0,
24,94,46,0,
52,152,82,0,
23347,10002,13646,3184,
2787,4219,5103,9410,
0,34,0,42,
221,310,870,252,
126,241,397,263,
4139,6978,8446,9588,
5384,7127,5956,11150,
58,0,201,28,
526,1259,1469,610,
412,221,148,525,
2069,3518,3141,3250,
4035,5572,5817,9706,
129,0,198,59,
690,1263,1282,1569,
176,362,87,268,
881,1083,1122,1219,
2539,3341,2881,6366,
192,209,155,170,
482,408,1115,1045,
0,127,238,90,
283,378,394,587,
2648,2323,1389,3361,
750,337,337,242,
531,166,250,493,
92,153,85,133,
327,42,52,94,
763,1358,2480,532,
98,0,0,0,
0,16,130,8,
239,107,248,0,
21171,9562,14237,3952,
3683,5601,6422,12436,
264,0,0,0,
338,383,1101,894,
117,368,797,370,
2381,3701,6327,9021,
4301,6945,8022,10784,
121,59,149,0,
963,2003,2074,1203,
467,611,860,567,
1234,2342,2487,2676,
3418,5762,6082,8082,
368,246,355,181,
1062,1925,1687,2072,
786,319,638,358,
829,939,1523,1023,
2889,2788,3224,4121,
1111,586,458,473,
987,1210,1597,1307,
378,222,138,29,
460,217,373,705,
1992,1689,760,1996,
2885,1950,836,561,
396,543,810,775,
201,222,38,47,
533,292,248,344,
2629,5946,7297,1121,
141,0,0,55,
176,491,838,104,
498,499,659,24,
236226,109608,132098,19908,
8427,29250,42840,38656,
39,56,127,0,
2175,6509,7360,2295,
968,2068,2817,871,
19562,51498,67338,50279,
11981,34234,50053,49330,
272,315,494,201,
4557,11731,16049,5976,
1618,3432,3029,1062,
10253,23791,24569,17084,
12482,34417,45623,38740,
718,1408,954,556,
7933,16013,17795,7372,
1585,2440,3266,1273,
6603,13434,13459,8179,
8642,22173,32572,31565,
1060,1328,1648,876,
3904,8061,12311,6790,
608,858,1385,1056,
1824,4141,4265,3718,
17422,18840,20749,18177,
5705,4075,3418,2710,
4767,4938,5806,3110,
565,431,445,347,
1834,1569,1037,985,
3617,11092,14101,3454,
0,88,187,0,
506,1357,1104,127,
796,1347,1254,61,
211992,89523,148701,29645,
8365,25466,54521,51442,
261,522,897,423,
2410,6890,14255,5581,
1681,3289,5881,1370,
11568,30228,62172,59030,
9789,28938,58728,57769,
538,718,1786,684,
3744,10606,22966,10142,
1353,3722,6737,2696,
5062,13123,21289,18895,
11558,31490,51961,40777,
1594,2043,4192,1524,
5502,14509,27952,14489,
1929,2951,5442,2573,
3675,7955,12031,10000,
11247,24273,32738,22054,
3627,5233,6552,3448,
5075,10898,20501,10330,
1148,1805,2376,1397,
2207,3048,5450,4376,
11315,16613,15471,8955,
22248,20884,14363,7532,
5663,7433,9567,5113,
987,1178,779,551,
1917,1762,1526,2255
*****
