2010 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education, age 25-34, wgtd 2008-10 ACS, SSDAN/U-Mich
128,42,1045,1628,265,0,0,
427,409,2495,2709,556,89,17,
1090,518,3905,4110,1644,71,48,
1673,9205,38427,36170,4030,795,195,
0,0,0,140,0,0,0,
42,86,805,1425,112,120,0,
244,433,2523,1818,531,44,0,
2110,457,2520,1620,573,21,0,
3174,13923,74544,53527,5890,481,172,
0,0,255,0,0,0,0,
28,221,796,1433,138,0,0,
292,498,2687,2643,578,105,0,
645,943,3268,3164,1164,0,70,
283,3117,18169,61529,85024,40589,11998,
0,0,116,79,398,93,60,
62,69,104,1052,3865,1478,364,
53,46,427,2947,5615,2427,772,
0,133,432,2219,3189,1297,904,
2878,9469,82627,192290,77143,18039,1555,
0,0,238,289,26,58,0,
128,129,1425,4946,1810,750,0,
128,801,3082,6738,4169,759,0,
240,497,2568,4608,2322,576,0,
3263,18273,66313,80641,10887,1621,246,
0,75,134,120,25,0,0,
63,269,757,1155,259,63,0,
513,826,3297,4798,1101,135,0,
585,755,5453,4414,808,161,0,
168,767,3266,4302,866,177,76,
0,0,0,0,0,0,0,
0,0,49,51,0,0,0,
61,0,67,297,173,0,0,
26,0,53,0,45,0,0,
834,4664,19070,15997,1729,430,0,
0,0,0,0,0,0,0,
0,0,21,165,101,0,0,
119,169,336,647,57,0,0,
850,324,646,635,206,0,0,
164,274,1621,6998,34539,10994,10866,
0,17,282,977,3191,1416,1672,
103,112,606,3924,16000,5013,3461,
83,359,1685,5322,24414,18105,5902,
391,150,918,2648,46483,52191,16944,
83,695,5892,14852,18004,3067,298,
0,0,622,1482,1740,305,95,
158,621,2833,8822,8123,1395,97,
340,606,5343,10324,9274,3154,413,
153,652,1916,5342,9356,7395,737,
295,388,1917,6204,3477,155,117,
0,0,85,622,230,41,0,
542,853,1667,3070,1406,33,31,
1857,1148,4647,4180,1451,138,101,
2000,1033,3335,2813,2444,651,104,
103,703,4718,6007,1859,124,0,
57,0,234,395,32,0,0,
96,510,1527,3115,958,35,24,
434,538,1597,3491,912,202,32,
278,606,1782,1370,787,406,0,
329,730,3592,3969,1698,76,32,
0,217,491,466,214,0,82,
174,394,2773,2898,770,0,54,
909,1476,5739,3297,904,123,0,
896,687,2248,2001,1420,456,173,
118,104,1024,6458,32307,12359,12714,
0,0,96,798,3811,1825,1725,
114,28,647,4306,16566,4265,5688,
152,152,1455,5794,23030,10247,4851,
94,134,820,3227,29763,25798,10281,
241,379,5870,17207,18520,3397,598,
123,0,657,1654,1879,348,142,
266,485,2591,7227,8409,1151,263,
541,912,3592,10129,10672,1993,178,
647,673,3175,6783,11231,4612,954,
99,279,2156,4563,2304,297,131,
0,0,396,386,152,0,0,
99,501,1275,3022,1112,114,304,
1166,1127,4594,4315,1566,191,93,
2470,1180,4792,3614,3452,79,106,
0,0,328,533,251,0,62,
0,0,100,70,98,25,0,
0,0,210,80,77,28,0,
64,0,156,244,145,0,19,
132,149,234,238,191,75,0,
198,267,370,743,394,62,0,
25,28,250,19,58,0,0,
125,473,986,838,270,51,0,
388,550,1564,895,562,165,0,
1345,607,1143,1171,578,554,0,
985,3530,16755,43617,51310,12287,6929,
27,203,532,1309,1202,441,138,
346,681,2528,5306,5809,1225,791,
3518,1594,5635,6437,6515,2358,803,
1990,538,3421,3193,7771,3425,3305,
3969,10349,55796,92191,31365,4657,865,
101,653,1367,2254,609,93,0,
1298,2764,9583,10625,5311,631,124,
8035,5218,13372,12071,5527,549,243,
6988,3431,8234,7671,5648,1084,258,
7343,12281,40335,45868,9526,613,156,
480,122,1060,722,392,19,0,
5349,2736,8440,4703,1307,124,21,
45818,12344,26692,9725,3182,223,24,
52943,10668,33666,12194,3535,332,465,
12700,22436,67768,50969,5157,576,0,
770,1225,1381,1625,41,0,0,
7875,6160,13167,7396,503,25,34,
83563,21903,48282,16174,3065,416,244,
83480,21569,51963,16474,4790,469,236,
8050,18460,56389,31980,3108,246,29,
953,1100,1991,1281,7,0,0,
4279,4922,8587,4316,177,254,0,
40267,15743,32596,9533,1816,210,112,
33860,8557,27671,7721,2971,620,130,
933,2854,14924,49317,67232,24989,7919,
0,223,584,1061,1559,622,242,
82,472,2707,5695,6753,3267,297,
1352,1145,3063,7290,6347,2282,685,
727,517,1973,3456,5478,2947,2088,
5365,16703,88972,143212,46300,7690,892,
219,633,1791,4022,1104,518,0,
1220,3151,12272,17688,4864,718,140,
6736,4706,17882,21715,4614,812,53,
4252,2805,11261,12084,7453,1154,983,
5077,9796,29378,40937,7154,747,580,
166,395,671,804,154,222,0,
2882,2696,5789,4480,570,103,51,
19662,7134,15327,8673,1342,243,73,
23041,5098,18571,8162,2918,334,481,
1016,699,3128,2816,753,76,5,
121,0,96,81,0,0,0,
754,315,589,116,0,0,0,
4748,1117,2440,565,234,0,0,
5190,757,2137,800,563,89,0,
3202,4323,9447,5091,1109,69,32,
281,74,369,289,62,0,0,
1746,1339,2033,934,205,0,0,
12867,5012,7730,2889,428,49,20,
12161,2794,8762,2688,1416,127,151,
154,134,1100,3027,2272,454,276,
0,17,0,0,32,0,0,
0,0,0,58,53,27,0,
0,27,81,35,16,78,0,
126,0,0,0,159,0,0,
128,522,2634,5375,1484,253,25,
0,0,0,18,0,0,0,
138,56,0,115,27,0,0,
0,68,19,64,34,0,0,
125,89,22,0,0,0,0,
206,893,3106,2768,480,119,0,
0,0,0,0,0,0,0,
38,10,21,23,0,0,0,
774,48,0,186,78,0,0,
485,33,308,92,0,0,0,
886,1262,5022,4576,423,9,0,
0,0,0,87,0,0,0,
63,8,0,0,0,0,0,
629,84,488,447,23,0,0,
962,578,298,0,0,0,0,
511,875,3904,2207,183,0,0,
0,0,33,0,0,0,0,
38,22,14,0,0,0,0,
206,204,157,0,10,92,0,
235,33,127,52,32,0,0,
240,145,737,3828,4053,1195,404,
0,0,0,75,35,0,0,
0,0,0,26,112,55,0,
78,0,34,0,15,0,0,
0,0,0,0,143,60,0,
161,1032,4588,9862,2513,541,43,
0,0,7,47,0,0,0,
0,0,104,88,0,0,0,
0,56,185,168,16,0,0,
27,0,25,73,69,0,0,
496,789,3576,4449,588,62,51,
0,0,0,0,0,0,0,
0,0,131,0,0,0,0,
227,45,63,24,0,0,0,
215,0,47,75,0,0,0,
7,31,306,304,50,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
141,0,0,0,0,0,0,
0,0,16,0,0,0,0,
33,14,1075,796,8,39,0,
65,68,0,0,0,0,0,
0,0,0,0,0,0,0,
95,54,36,0,0,0,0,
260,0,0,0,60,0,0,
30,0,201,1099,1606,323,324,
0,0,0,65,0,86,0,
0,0,0,0,204,67,33,
0,26,22,91,291,436,127,
0,0,41,192,2429,940,405,
0,0,518,1014,559,137,0,
0,60,40,32,47,0,0,
0,0,117,350,96,0,0,
0,25,386,274,154,60,0,
0,114,379,138,401,322,0,
0,0,385,750,61,0,0,
0,0,0,0,0,0,0,
0,0,29,94,21,0,0,
202,122,103,51,0,0,0,
123,0,270,229,77,62,0,
148,152,539,672,39,0,0,
0,0,0,0,0,0,0,
138,0,175,98,0,0,0,
179,62,58,315,0,0,0,
353,372,901,167,313,0,0,
59,10,389,197,30,0,28,
0,0,0,0,0,0,0,
0,39,102,80,32,0,0,
88,139,242,158,103,10,0,
64,102,146,86,226,0,0,
29,0,105,429,1150,458,313,
0,0,0,40,63,34,25,
0,0,52,129,282,22,70,
0,0,71,120,504,143,39,
0,0,0,264,935,394,199,
31,118,1030,1688,1013,171,0,
0,0,72,0,0,0,0,
0,0,125,284,180,23,0,
105,117,344,727,225,0,74,
0,0,173,253,623,58,71,
25,127,125,171,228,0,0,
0,0,0,0,0,0,0,
0,0,52,201,24,0,0,
0,35,209,135,0,0,0,
247,131,277,183,174,29,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,19,0,0,0,0,0,
0,0,36,0,0,0,0,
0,0,0,0,0,0,0,
8,0,46,202,0,0,0,
0,0,0,0,0,0,0,
0,0,0,82,0,0,0,
44,0,46,46,0,0,0,
82,0,71,143,65,0,0,
244,302,2933,8205,14675,4013,2120,
0,0,0,77,79,0,0,
0,0,35,125,473,40,58,
0,0,66,140,524,217,147,
0,0,109,34,902,480,324,
272,489,5551,13894,8607,1116,130,
0,30,0,80,0,0,0,
0,0,0,381,51,0,45,
0,58,251,133,282,228,78,
27,50,83,288,193,68,0,
137,627,4390,7377,2295,217,66,
0,0,36,56,16,0,0,
0,0,0,215,22,0,0,
25,33,31,126,35,0,0,
41,0,198,116,86,0,0,
257,1054,7250,7214,857,69,0,
0,0,17,0,0,0,0,
0,20,24,231,25,0,20,
22,0,139,130,0,0,0,
0,36,218,166,124,0,0,
151,1000,6600,5670,1021,146,0,
0,0,0,46,0,0,0,
0,0,26,99,0,0,0,
44,45,183,246,0,15,0,
66,107,112,282,0,0,0,
16,224,1992,8847,16199,5931,2784,
0,0,0,18,79,66,74,
0,0,0,82,344,170,145,
0,0,0,0,314,236,91,
0,0,0,24,220,588,265,
422,778,6157,19265,9447,1774,166,
0,0,0,92,31,55,0,
0,0,109,627,154,0,0,
0,26,156,393,194,83,0,
36,0,204,177,189,54,0,
213,871,4112,6549,1832,350,99,
0,0,0,33,0,0,0,
0,0,26,69,0,78,0,
0,0,202,172,0,0,0,
25,0,222,61,108,0,0,
15,4,91,484,352,0,0,
0,0,0,0,0,0,0,
0,0,46,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,90,802,1148,415,92,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,19,37,0,0,0,0,
0,0,0,0,0,0,0
*****
