2008 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education, age 25-34, wgtd 2006-08 ACS, SSDAN/U-Mich
5
RaceEth,Gender,Occup,Immentry,EducAll
7,2,5,5,7
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
TopWC,OtherWC,Service,TopBC,OtherBC
Native, FB<1980, FB80-89, FB90-99, FB00-current
0-9Yrs, 10-12Yrs, HSGrad, SomeColl, CollGrad, Masters, PhD-Prof
39,0,227,34,74,44,0,
0,0,0,65,134,100,0,
200,1076,4985,6081,2011,557,39,
0,0,24,58,0,0,0,
187,31,28,152,0,0,0,
0,60,196,249,33,0,0,
128,126,123,64,46,0,0,
352,929,4472,4679,559,117,0,
0,0,107,0,0,0,0,
64,6,0,24,0,0,0,
851,122,89,243,59,0,0,
664,0,448,59,0,0,0,
992,2400,9834,6155,510,134,14,
31,0,37,105,0,0,0,
239,7,28,62,123,0,0,
1598,63,494,221,26,0,0,
1707,633,407,85,0,0,0,
515,1666,6471,3245,232,0,0,
0,0,33,0,0,0,0,
69,0,136,20,0,0,0,
323,137,215,69,16,0,0,
382,71,117,44,6,0,0,
98,286,1844,5544,5357,1263,567,
0,0,0,0,46,0,0,
0,0,13,139,64,29,0,
0,0,24,0,50,0,0,
0,0,43,0,55,33,0,
194,1728,8909,12736,2870,609,22,
0,0,5,38,0,0,0,
0,0,350,91,28,0,0,
0,69,106,90,116,0,0,
0,0,185,54,43,0,0,
478,1137,4515,5037,565,71,78,
0,0,0,21,0,0,0,
43,0,228,0,0,0,0,
160,65,109,19,0,0,0,
400,16,45,109,0,0,0,
0,49,263,525,43,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
130,0,25,0,0,0,0,
9,44,1241,1135,23,0,0,
75,69,0,0,0,0,0,
57,0,0,0,0,0,0,
65,22,25,0,0,0,0,
136,28,0,0,95,0,0,
63,30,353,1436,1439,318,394,
0,0,31,54,25,78,20,
0,0,82,92,256,24,27,
0,39,81,264,833,537,204,
131,76,66,217,1734,1253,394,
30,68,793,1736,803,176,0,
0,66,28,27,112,0,0,
0,47,255,649,255,29,0,
86,51,455,603,318,226,0,
66,107,266,212,426,181,0,
0,142,668,752,356,0,41,
0,0,87,21,0,0,0,
0,0,191,189,206,0,0,
473,158,166,28,22,0,0,
329,32,750,362,139,0,0,
187,198,1104,1139,33,0,0,
0,0,0,35,0,0,0,
132,61,237,142,0,0,0,
1120,332,862,282,179,0,0,
1051,463,1640,472,209,29,0,
0,164,566,823,0,0,35,
26,0,0,14,0,0,0,
9,67,226,85,0,55,0,
231,88,666,326,134,0,0,
232,374,531,148,100,0,0,
0,0,75,818,1522,540,205,
0,0,0,0,34,26,0,
36,0,40,166,310,104,133,
0,0,28,106,553,120,48,
0,0,205,75,760,487,189,
56,140,1536,2926,1363,341,0,
0,0,42,0,0,0,0,
0,102,344,575,267,0,0,
0,123,388,1033,279,0,58,
0,57,214,399,618,0,113,
133,234,190,556,231,0,0,
0,0,0,36,0,0,0,
0,0,323,73,16,0,0,
66,294,607,234,0,0,0,
396,388,1191,232,262,23,0,
0,0,0,33,97,0,0,
0,0,0,0,0,0,0,
92,0,0,0,0,0,0,
0,0,62,0,0,0,0,
0,0,333,0,0,0,0,
0,0,118,93,0,0,0,
0,0,0,0,0,0,0,
0,38,49,0,36,0,0,
20,0,48,249,32,0,0,
198,0,390,182,56,0,0,
255,295,3839,9882,16480,4134,2373,
0,0,0,129,95,51,64,
0,0,42,114,695,69,77,
0,0,125,162,637,473,164,
0,0,59,75,749,480,365,
341,944,8090,18066,9865,1627,199,
0,0,0,149,0,0,0,
0,72,228,405,163,10,0,
0,46,274,452,141,217,103,
12,80,198,185,142,60,0,
169,1198,5988,9789,2490,213,19,
0,0,13,104,25,0,0,
0,0,40,34,0,0,0,
0,34,261,49,56,0,0,
0,0,166,86,9,0,0,
488,1973,10890,9015,1167,61,0,
0,0,41,108,114,0,0,
0,55,75,230,27,0,27,
22,19,255,181,54,0,0,
58,29,208,438,27,0,0,
370,1916,8872,7424,1074,135,0,
0,22,13,0,0,0,0,
0,0,0,103,0,0,0,
13,0,256,253,0,6,0,
162,102,155,326,83,0,0,
90,184,2821,10497,16687,6355,3299,
0,0,70,86,301,0,131,
0,0,0,98,376,231,31,
0,78,18,58,404,286,64,
0,0,0,21,215,569,170,
462,1128,9104,25528,11291,2645,140,
0,0,24,53,144,91,0,
26,39,141,478,344,143,0,
0,28,153,337,136,131,0,
27,0,142,137,223,0,0,
567,1057,5772,7741,1985,243,22,
0,0,0,52,0,0,0,
0,0,114,92,54,79,0,
16,12,33,130,344,0,0,
15,0,76,117,79,0,0,
55,11,702,967,302,0,0,
0,0,19,0,0,0,0,
0,0,38,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
15,277,1421,993,313,77,0,
0,0,0,45,0,0,0,
0,23,0,0,0,0,0,
0,19,23,37,0,0,0,
0,0,0,0,0,0,0
*****
